,Company Information,,,,,,,Services,,,Quality,,,,Facility,,,,,,,,,,,,,Users,,,,,,,,Upload feature - Documents,
123,Chennai Forge Products Pvt Ltd.,"Brahmin St, Pattravakkam, Tiny Sector, Sidco Industrial Estate, Ambattur, Chennai, Tamil Nadu 600098, India",https://chennaiforgeproducts.com/,9.14426E+11," Ashok Leyland Ltd, Ennore, Hosur, Alwar, Bhandara & UTK  TVS Sundaram Fasteners – Autolec Div, Chennai  Lucas TVS Ltd, Chennai  B. H. E. L, Ranipet & Chennai  Bharat Earth Movers Ltd, Mysore, Pallakkad & KGF  L&T Valves Ltd, Kancheepuram , Coimbatore  Wabco-TVS India Ltd, Chennai  Pennar Industries, Chennai",India,NA,"Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups","CNC Machining,Hot Forging","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel,CNC Machining: Copper",IATF 16949,"Manual,Profile Projector,VMS,Hardness Tester,Roughness Tester",NA,"Kaizen, Six Sigma",NA,Yes,Yes,Yes,200,70,8,3,6,Yes,NA,NA,NA,Sukumar,General Manager,info@chennaiforgeproducts.com,9444904212,,,,,,
124,"ACCURATE INDUSTRIES	",NA,NA,9.17412E+11,"PAMS ENGINEERING, DENO MANUFACTURING SOLUTIONS, MURAS TECNOCASTS, LGC ENGINEERING, INDIAN PRECISION GEARS	",India,1 cr,"Automotive,Machinery & Equipments,Steel,Oil & Gas,Robotics",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel,CNC Machining: Copper,CNC Machining: Plastics",ISO 9001,"Manual,Profile Projector,VMS,Hardness Tester,Roughness Tester",NA,Kaizen & 5S,3800 sq ft,NA,Yes,Yes,NA,90,8,3,6,NA,12,2,Yes,ABHISHEK,"	MD",accuratesmech@gmail.com,7411556070,,,,,,
125,FORTUNE PROCURATORS INDIAPVT. LTD.,"B83, Hupari - Kolhapur Rd, Kagal 5 Star MIDC Industrial Area, Sangwadewadi, Maharashtra 416236, India",https://www.fortunefoundries.com/,9.12312E+11,"Escorts, L&T, etc","India, etc",150 Cr,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups,Railways",Sand Casting,NA,ISO 9001,Manual,NA,NA,NA,Yes,Yes,Yes,NA,70,8,3,6,Yes,100+ Employees,NA,NA,Pratap,Asst. Manager - Sales & Marketing,sales1@fortunefoundries.com,9545452944,,,,,,
126,KONAR ENGINEERING SERVICE PVT LTD,"45, Electronic City Phase I, Electronics City Phase 1, Electronic City, Bengaluru, Karnataka 560100, India",http://konarengineering.com/,9.1945E+11,"TVS, SHOEI, ","India, Japan",NA,"Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Automotive,Robotics,Hardware Startups,Electrical & Electronics","Sheet Metal Stamping,Sheet Metal Bending,Sheet Metal Fabrication",NA,IATF 16949,"Manual,Profile Projector,VMS",NA,NA,2 Acre,Yes,Yes,Yes,NA,NA,8,2,6,NA,160 Employees,NA,NA,Krishna,GM,kk@konarengineering.com,9480886070,,,,,,
127,Prragathi Steel Castings Pvt Ltd,"#41/42, Shimoga - Bhadravathi Industrial Area Machenahalli, Nidige, Post, Shivamogga, Karnataka 577222, India",https://www.prragathisteelcast.com/,9.19972E+11,"L&T Valves, Emerson, Escorts, ",India,50Cr,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Railways,Hardware Startups",Sand Casting,NA,ISO 9001,Manual,NA,NA,3 Acre,Yes,Yes,Yes,400,60,8,3,6,Yes,NA,NA,NA,Pavan Kumar,"	Marketing Rep",marketing@prragathisteelcast.com,9972461739,,,,,,
128,KUMUD METAL FOUNDRY PVT. LTD.,"11, Swami Vivekananda Road, near Syndicate Bank, opp. Crystal Apartment, Shastri Nagar, Jogeshwari West, W, Maharashtra 400102, India",https://www.kumudmetal.com/,9.10223E+11,NA,NA,NA,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Robotics,Hardware Startups","Sand Casting,Die Casting",NA,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Virag,"	MD",virag@kumudmetal.com,9892046578,,,,,,
129,Qualimount Engineering Pvt Ltd,"No 13, Mailasandra, Bommasandra, Karnataka 560060, India",,NA,NA,NA,NA,,CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel",,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vasanth,,vasanth@qualimount.com,8197047514,,,,,,
130,Chaitanya Hi-Tech and Preci-Tech tools pvt ltd,"Unit - 3, #289, 4th Phase, 4th Cross,Peenya Industrial Area, Ganapathy Nagar, Phase 3, Peenya, Bengaluru, Karnataka 560058, India",http://www.chaitanyatools.com/,NA,NA,NA,NA,Automotive,CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Mild Steel",,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,G.C.Bhanuprakash,,prakash@chaitanyatools.com,9845176432,,,,,,
131,Preci fit Engineering,"102, 3rd Main Rd, 2nd Stage, Peenya Industrial Area Phase IV, Peenya, Bengaluru, Karnataka 560058, India",,NA,NA,NA,NA,,CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel",,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Purushotham Somnath,,purshotham@preci-fit.com,9901283199,,,,,,
132,Accutech Enterprises,"#A2, 480, 1st Cross Rd, 7 Block, 3rd Stage, Peenya, Bengaluru, Karnataka 560085, India",https://www.accutechenterprises.com/,NA,NA,NA,NA,"Railways,Machinery & Equipments,Aerospace,Oil & Gas",CNC Machining,NA,,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
133,Srinu Engineering Industries,"# B 120, 3rd Main Rd, 2nd Stage, Peenya Industrial Area Phase IV, Peenya, Bengaluru, Karnataka 560058, India",http://www.srinuengg.in/,9.19845E+11,NA,NA,NA,,CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Mild Steel",,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S.Sridhar,,sridharbabu1969@gmail.com,9845097284,,,,,,
134,Pratheek CNC,"Plot no, 222, Bommasandra Jigani Link Rd, Bengaluru, Karnataka 560105, India",http://www.pratheekcnc.com/,9.199E+11,NA,NA,NA,,CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel",,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jayaprakash,,info@pratheekcnc.com,9900134206,,,,,,
135,Metro Precision,"19, Anna St, Mathiyazhagan Nagar, TMP Nagar, Padi, Chennai, Tamil Nadu 600050, India",https://www.metroprecision.co.in/,NA,NA,NA,NA,Automotive,CNC Machining,"CNC Machining: Mild Steel,CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels",,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
136,INNOVATIVE MANUFACTURERS,"No.13, 3rd Cross, SRS Rd, Yeshwanthpur Suburb II Stage, Yesvanpur Surburb, Peenya, Bengaluru, Karnataka 560058, India",https://swissturn.in/,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
137,Sams precision components,"No. 64 and 65, Kalyani Industrial Estate, Vanagaram-Ambattur Rd, Athipet, Gandhi Nagar, Ambattur, Chennai, Tamil Nadu 600058, India",http://www.samsgroup.co.in/,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
138,"Das CNC Products Pvt, Ltd","No 10B, 10th cross, near TVS cross, Peenya 1st Stage, Peenya III Phase, Industrial Estate, Bengaluru, Karnataka 560058, India",https://dasind.net/,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
139,WAVE MECHANICS PRIVATE LIMITED,"V 3, 1st Main Rd, Peenya 1st Stage, Netaji Nagar, Peenya, Bengaluru, Karnataka 560058, India",https://cew.in/,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
140,Chandra Engineering works,"4th Phase, 268/B, Bommasandra Jigani Link Rd, KIADB Industrial Area, Bengaluru, Karnataka 562106, India",https://cew.in/,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
141,Technoids Engineering,"482/1, Ground Floor, M.E.S Ring Road, Muthyala Nagar, Bahubali Nagar,, Jalahalli, Muthyala Nagar, Bahubali Nagar, Jalahalli, Bengaluru, Karnataka 560013, India",https://technoids-engineering-a-cnc-machining-centre.business.site/,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kavi,MD,technoidsengg@gmail.com,8861931140,,,,,,
142,Ganesh Metal Works,"143/1, 9th Main Rd, Duggalamma Layout, UBMEC Layout, Peenya III Phase, Peenya, Bengaluru, Karnataka 560058, India",https://www.gmw.co.in/,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
143,Sri Garuda Machining Works,"4524+MFG, Ksr Nagar, Ambattur, Chennai, Tamil Nadu 600053, India",http://www.garudamachiningworks.in/,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
144,Trimurti Enterprises,"Plot 38, Sector No 10, PCNTDA, Behide Times of India Press, J Block, Sector 10, MIDC, Bhosari, Pune, Maharashtra 411026, India",https://trimurti-enterprises.com/,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
145,Sri ShriJayaveeraa Enterprises,"10/13, 1st cross street, Narasingapuram, Maduvangarai, Chakrapani Rd, Old Narasingapuram, Race View Colony, Guindy, Chennai, Tamil Nadu 600032, India",http://shrijayaveeraa.com/,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
146,Neepuna Manufacturing Solutions Pvt Ltd,"#53, Kachohalli Industrial Main Road, Bylakonehalli, near Sai Baba Temple, Bengaluru, Karnataka 560091, India",http://neepunamanufacturing.com/,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
147,Sapthagiri Aerospace & Defence Pvt Ltd,"#939 Kempegowda Indl. Estate, Magadi Main Rd, Sannakki Bayalu, Kullegowda Industrial Estate, Kamakshipalya, Bengaluru, Karnataka 560079, India",http://www.sapaero.in/,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
148,Astron brass components,"ASTRON BRASS COMPONENTS Plot No.4092, ‘I’ Road, GIDC Phase III, GIDC Phase-2, Dared, Jamnagar, Gujarat 361004, India",http://astronbrass.com/,NA,NA,NA,NA,,CNC Machining,CNC Machining: Brass,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
149,Techno Precision manufacturing,NA,,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
150,Saroj Engineering,NA,,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
151,Team -D Technologies,"no 56/1 , kottigepalya , magadi main road, opposite : Indian Instute of Unani Medicine, Kottigepalya, Bengaluru, Karnataka 560091, India",http://www.teamd.in/,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
152,Enplasin,"86, Jigani Industrial Area, Vaddarapalya, Bengaluru, Karnataka 562106, India",https://www.enplas.co.jp/,NA,NA,NA,NA,,CNC Machining,CNC Machining: Plastics,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
153,Vieng Manufacturing Sytems,"No 510, 4th Cross, 10th Main Road, 4th Phase, Maruthi Nagar, Peenya, Bengaluru, Karnataka 560058, India",,NA,NA,NA,NA,,CNC Machining,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
154,Lion Industries,"Lion Estate, 4, Samrat Industrial Area, Gondal Road, Samrat Industrial Area, Panchsheel Park, Samrat Industrial Area, Rajkot, Gujarat 360004, India",https://www.lionindustries.co.in/,NA,NA,NA,NA,"Automotive,Machinery & Equipments",CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Brass,CNC Machining: Copper,CNC Machining: Mild Steel",ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RAJA,VICE PRESIDENT,,9888214005,,,,,,
155,Numann Industries,"63/A, SIPCOT Industrial Complex, Sipcot Ph. I, Hosur, Tamil Nadu 635126, India",https://www.numannauto.com/,9.1936E+11,NA,NA,NA,,CNC Machining,"CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Brass,CNC Machining: Mild Steel,CNC Machining: Copper","ISO 9001,IATF 16949","Manual,Profile Projector,CMM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ravindran,Proprietor,ravi@numannauto.com,9360078778,,,"npd@numannauto.com , info@numannauto.com",,,
156,Shakthi Tech Manufacturing India Private Ltd,"542, 4A, Main Road, Saravanampatti, Vellakinar, Tamil Nadu 641029, India",,9.19443E+11,NA,NA,NA,"Automotive,Defense,Machinery & Equipments,Oil & Gas,Electrical & Electronics",Casting,Casting: Aluminium,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"	ANGOU",,m_angou@shakthicastings.com,9442649550,,,,,,
157,Champion Extrusions,"#A-21, Peenya 3rd Stage,, Peenya Industrial Area, 3rd Stage, Maruthi Nagar, Peenya, Bengaluru, Karnataka 560058, India",https://www.championextrusions.com/,9108933585,NA,NA,NA,"Automotive,Machinery & Equipments,Electrical & Electronics",Forging,Forging: Plain Carbon and Low Alloy Steels,,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Darshan,,darshan@championextrusions.com,9108933585,,,,,,
158,Veer O Metals Private Limited,"No: A-02, BEL Industrial Estate, Sundara Nagar, Gokula Extension, Jalahalli, Bengaluru, Karnataka 560013, India",https://www.veerometals.in/,9.18024E+11,NA,NA,NA,"Automotive,Aerospace,Machinery & Equipments,Electrical & Electronics","CNC Machining,Laser Cutting,Welding,Others","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,Laser Cutting: Aluminium",ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vaneet,Director,vaneetss@veerometals.com,8023712195,,,,,,
159,Accutech Laser PVT LTD,"484/A1, 13th Cross Rd, Peenya Industrial Area Phase IV, Peenya, Bengaluru, Karnataka 560058, India",http://www.accutechlaser.in/,9.1917E+11,NA,NA,NA,"Automotive,Machinery & Equipments,Consumer Goods,Healthcare,Steel","Laser Cutting,Welding",Laser Cutting: Steel,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prashant,,info@accutechlaser.in,,Mahesh,,mahesh@accutechlaser.in,7259886531,,
160,Spectrum Tools and Engineering pvt ltd,"97/100, Magadi Main Rd, Govindaraja Nagar Ward, Pete Channappa Industrial Estate, Kamakshipalya, Bengaluru, Karnataka 560079, India",http://www.spectrummoulds.com/,9.19198E+11,NA,NA,NA,"Automotive,Consumer Goods,Electrical & Electronics,Hardware Startups",Injection Molding,Injection Molding: Plastic,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sudarshan,"	Director",sudarshan@spectrummoulds.com,9845134512,,,,,,
161,Swathi Tools & Components,"1, Magadi Main Rd, Govindaraja Nagar Ward, Stage 1, Vijayanagar, Bengaluru, Karnataka 560079, India",https://www.swatiprecision.com/,9.1919E+11,NA,NA,NA,"Electrical & Electronics,Consumer Goods,Automotive",Injection Molding,Injection Molding: Plastic,,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gangappa,,swathi_tools@yahoo.co.in,9008354488,,,,,,
162,Shree Sampath Plastics,"77, 1, 4th Main Rd, Raghavendra Layout, Someshwara Layout, Hulimavu, Bengaluru, Karnataka 560076, India",https://www.shreesampathplast.com/,9.1803E+11,NA,NA,NA,"Electrical & Electronics,Consumer Goods",Injection Molding,Injection Molding: Plastic,,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"	manager@shreesampathplast.com",8029910477,,,,,,
163,Anjana Enterprises,"Kengeri Main Rd, Papreddy Palya, 2nd Stage, Naagarabhaavi, Bengaluru, Karnataka 560072, India",https://www.indiamart.com/anjanaenterprises/,9.19536E+11,NA,NA,NA,"Automotive,Consumer Goods",Injection Molding,Injection Molding: Plastic,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kumar,,anjanaenterprises@ymail.com,9535577601,,,,,,
164,Macpro Technologies,"10/1A hoodi Graphite india Ltd road, hobli, KEB Colony, Industrial Area, Krishnarajapura, Bengaluru, Karnataka 560048, India",https://macpro-technologies.com/,9.19846E+11,NA,NA,NA,"Automotive,Consumer Goods,Hardware Startups,Electrical & Electronics",Injection Molding,Injection Molding: Plastic,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,
165,Vision Tec.,"Shed No.6, 4th Phase, 2nd Stage, Kempaiah Garden,, Peenya Industrial Area,, Gruhalakshmi Housing Colony, Peenya, Bengaluru, Karnataka 560058, India",http://www.visiontec.in/,9.19887E+11,NA,NA,NA,Machinery & Equipments,"Injection Molding,CNC Machining","CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Stainless Steels,CNC Machining: Aluminium Alloys,CNC Machining: Mild Steel",,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"	info@visiontec.in",9886750694,,,,,,
166,Aeon Telectronics Pvt Ltd,"VHV8+H7J, Jayachamarajendra Industrial Estate, Kumaraswamy Layout, Bengaluru, Karnataka 560078, India",http://www.aeontele.com/,9.1918E+11,NA,NA,NA,"Electrical & Electronics,Consumer Goods",Injection Molding,Injection Molding: Plastic,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,info@aeontele.com,8026861799,,,,,,
167,Electroplasts Private limited,"#63, Ganganna Layout, Jattipalya Road, Channenhalli, Magadi Road, Bengaluru, Karnataka 562130, India",https://electroplasts.com/,9.19742E+11,NA,NA,NA,"Automotive,Consumer Goods,Electrical & Electronics,Hardware Startups",Injection Molding,Injection Molding: Plastic,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sadanand HG	",,support@electroplasts.com,9742271128,,,,,,
168,AMS Technologies,"Bengaluru - Mangaluru Hwy, Peenya II Phase, Peenya, Bengaluru, Karnataka 560058, India",http://amstechno.co.in/,9.1974E+11,NA,NA,NA,"Automotive,Electrical & Electronics,Consumer Goods",Injection Molding,Injection Molding: Plastic,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,"	amstech2014@gmail.com",9740241016,,,,,,
169,Micro Moulds & Plastics,"Plot No.327, 328, 338 & 339 Kayarambedu, 603202, Rajarathinam St, Brindavan Colony, Ullagaram, Chennai, Tamil Nadu 603202, India",,NA,NA,NA,NA,Machinery & Equipments,"Injection Molding,CNC Machining","CNC Machining: Stainless Steels,CNC Machining: Plain Carbon and Low Alloy Steels,CNC Machining: Mild Steel",,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,mmp2407@gmail.com,,,,,,,
170,Kanoria Plastchem Ltd,"Hebbagodi, 121A, Bommasandra Industrial Area, Bengaluru, Karnataka 560099, India",http://www.kplindia.com/,9.18044E+11,NA,NA,NA,"Automotive,Consumer Goods,Electrical & Electronics",Injection Molding,Injection Molding: Plastic,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,contact@kplindia.in,8043770365,,,,,,
171,Fortune Plastech,"560049, Bhattarahalli, Hosabasavanapura, Krishnarajapura, Bengaluru, Karnataka 560049, India",http://www.fortuneplastech.com/,NA,NA,NA,NA,"Automotive,Electrical & Electronics,Consumer Goods,Healthcare",Injection Molding,Injection Molding: Plastic,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,fortuneplastech@gmail.com,9845213046,,,,,,
172,Majestic Polymers,"Plot No. 39/A, 5th Cross Road, Bommasandra Industrial Area, Bengaluru, Karnataka 560099, India",http://www.majesticpolymers.com/contact.html,9.19066E+11,NA,NA,NA,"Automotive,Consumer Goods,Healthcare",Injection Molding,Injection Molding: Plastic,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mamalaivasan,,mamalaivasanc@majesticpolymers.com,9066357339,,,,,,
173,Komtech Plastic,"2GFC+M54, Phase 3, Peenya, Bengaluru, Karnataka 560058, India",http://komtechindia.com/,9.19592E+11,NA,NA,NA,"Automotive,Consumer Goods,Healthcare,Electrical & Electronics",Injection Molding,NA,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sreenivas,Head Operations,pushparaj@komtechindia.com,9591998572,,,,,,
174,Techno Science Industries,"S.F, NO 1167, 2B, Alasanatham Rd, Venkatesh nagar, Hosur, Tamil Nadu 635109, India",https://techno-science-industries.business.site/,9.1949E+11,NA,NA,NA,"Automotive,Consumer Goods",Injection Molding,Injection Molding: Plastic,,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vasu,Founder,"	technoscienceindustries@gmail.com",9489580565,,,,,,
175,Excel springs,"Plot No. Q-1, KSSIDC Industrial Area, Veerasandra, Huskur Road, off, Phase 2, Hosur Rd, Shanthi Pura, Electronic City Phase II, Electronic City, Bengaluru, Karnataka 560100, India",http://excelsprings.in/,NA,NA,NA,NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Healthcare,Electrical & Electronics",Spring Manufacturing,Spring Manufacturing: Stainless Steels,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manohar,Founder,,9343036758,,,,,,
176,OMNI FORGINGS ( RAJKOT )  PVT.  LTD.,"SIDC Rd, Veraval, Gujarat 360024, India",https://omniforgings.com/,9.12827E+11,"Kach Motors Pvt. Ltd., Applied Auto Parts Pvt. Ltd., Volvo Eicher Commercial Vehicle Ltd., Amul Industries Pvt. Ltd., P.M.Diesels Ltd., Hilti Manu. India Pvt. Ltd.",India,INR 800 L ,"Automotive,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Hardware Startups,Railways",Hot Forging,NA,ISO 9001,"Manual,Hardness Tester",NA,NA,NA,Yes,Yes,Yes,400,70,8,3,6,NA,NA,NA,NA,Bhovanbhai,"	MD","	omniforg@gmail.com",9327519672,,,,,,
177,Elcoats & Allied Industries,"Vaddarapalya, Bengaluru, Karnataka 560105, India",https://elcoats.com/,9.18952E+11,NA,NA,NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Electrical & Electronics",Post Processing,NA,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Nikhil,,"	Nikhil@elcoats.com",8951791222,,,,,,
178,Bharath Electrochem,"128, 4th Main Rd, Rajaji Nagar Industrial Town, Rajajinagar, Bengaluru, Karnataka 560010, India",https://bharathelectrochem.com/,9.18792E+11,NA,NA,NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Electrical & Electronics",Post Processing,NA,ISO 9001,Manual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Shaan,CEO,info@bharathelectrochem.com,8792244445,,,,,,
179,KALYANI STAMPINGS PRIVATE LIMITED,"2/99 , Perinjambakkam Main Road, Rajiv Gandhi 1st Main Road, 169 , Koolangal Cherry Village, Alagoor,Sriperumbudur, Chennai, Tamil Nadu 601205, India",www.kalyanistampings.com ,9.1984E+11,NA,India,NA,"Automotive,Aerospace,Defense,Machinery & Equipments,Steel,Oil & Gas,Consumer Goods,Healthcare,Robotics,Hardware Startups,Electrical & Electronics","Sheet Metal Stamping,Welding,Sheet Metal Bending,Sheet Metal Fabrication",NA,"IATF 16949:2016,ISO 9001",Manual,NA,NA,"58,000 sq ft",Yes,Yes,Yes,NA,70,8,3,6,NA,95 Employees Total,NA,NA,Radhakrishnan,Managing Director,ceo@kalyanistampings.com,9840349875,,,,,,
